STATE,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,PEDCTYPE,BIKECTYPE,PEDLOC,BIKELOC,PEDPOS,BIKEPOS,PEDDIR,BIKEDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,PEDCGP,BIKECGP,st_case_year,idno
24,240174,0,2,8,0,1,0,0,0,150,0,3,7,4,7,8,7,8,8,8,8,100,0,240174_2015,4690
24,240184,0,1,5,26,1,1,1,0,760,0,1,7,2,7,2,7,3,3,1,1b,750,0,240184_2015,4691
24,240191,0,1,5,52,1,0,0,0,760,0,1,7,1,7,4,7,3,3,1,1a,750,0,240191_2015,4692
24,240195,0,1,6,44,1,0,1,0,0,144,7,1,77,1,7,1,7,7,7,7,0,145,240195_2015,4693
24,240196,0,1,6,56,2,0,0,0,0,239,7,3,77,1,7,1,7,7,7,7,0,230,240196_2015,4694
24,240197,0,1,5,81,1,0,0,0,760,0,2,7,3,7,1,7,4,3,2,4a,750,0,240197_2015,4695
24,240198,0,1,5,70,1,0,0,0,230,0,3,7,4,7,8,7,8,8,8,8,100,0,240198_2015,4696
24,240200,0,1,5,76,1,0,0,0,459,0,3,7,4,7,8,7,8,8,8,8,400,0,240200_2015,4697
24,240201,0,1,5,53,1,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0,240201_2015,4698
24,240202,0,1,5,62,1,0,0,0,311,0,3,7,4,7,8,7,8,8,8,8,310,0,240202_2015,4699
24,240209,0,1,5,68,1,0,0,0,459,0,3,7,3,7,8,7,8,8,8,8,400,0,240209_2015,4700
24,240220,0,1,5,45,2,0,1,0,690,0,2,7,5,7,8,7,9,8,8,8,990,0,240220_2015,4701
24,240235,0,1,5,49,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240235_2015,4702
24,240243,0,1,5,27,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240243_2015,4703
24,240258,0,1,5,51,1,0,0,0,230,0,3,7,3,7,8,7,8,8,8,8,100,0,240258_2015,4704
24,240258,0,2,5,32,1,0,0,0,230,0,3,7,9,7,8,7,8,8,8,8,100,0,240258_2015,4705
24,240261,0,1,5,50,2,1,1,0,690,0,1,7,2,7,2,7,3,3,1,1b,990,0,240261_2015,4706
24,240263,0,1,5,29,1,0,0,0,230,0,3,7,4,7,8,7,8,8,8,8,100,0,240263_2015,4707
24,240267,0,1,5,30,1,0,0,0,230,0,3,7,3,7,8,7,8,8,8,8,100,0,240267_2015,4708
24,240271,0,1,5,52,1,0,0,0,760,0,1,7,1,7,2,7,3,3,2,4b,750,0,240271_2015,4709
24,240275,0,1,5,35,2,0,0,0,459,0,3,7,3,7,8,7,8,8,8,8,400,0,240275_2015,4710
24,240275,0,2,8,2,2,0,0,0,459,0,3,7,3,7,8,7,8,8,8,8,400,0,240275_2015,4711
