st_case_year,STATE,ST_CASE,VEH_NO,MDRDSTRD,idno
110008_2013,11,110008,1,96,163
110009_2013,11,110009,1,96,164
110010_2013,11,110010,1,96,165
110011_2013,11,110011,1,96,166
110012_2013,11,110012,1,99,167
110012_2013,11,110012,2,0,168
110013_2013,11,110013,1,96,169
110013_2013,11,110013,2,96,170
110014_2013,11,110014,1,0,171
110015_2013,11,110015,1,0,172
110016_2013,11,110016,1,0,173
110017_2013,11,110017,1,0,174
110017_2013,11,110017,2,0,175
110017_2013,11,110017,3,0,176
110018_2013,11,110018,1,99,177
110018_2013,11,110018,2,96,178
110019_2013,11,110019,1,0,179
110019_2013,11,110019,2,96,180
110020_2013,11,110020,1,96,181
240001_2013,24,240001,1,93,182
240001_2013,24,240001,2,0,183
240001_2013,24,240001,3,0,184
240002_2013,24,240002,1,0,185
240003_2013,24,240003,1,0,186
240004_2013,24,240004,1,0,187
240005_2013,24,240005,1,0,188
240006_2013,24,240006,1,0,189
240006_2013,24,240006,2,0,190
240007_2013,24,240007,1,7,191
240008_2013,24,240008,1,0,192
240009_2013,24,240009,1,93,193
240009_2013,24,240009,2,0,194
240010_2013,24,240010,1,93,195
240011_2013,24,240011,1,93,196
240011_2013,24,240011,2,0,197
240012_2013,24,240012,1,93,198
240012_2013,24,240012,2,0,199
240013_2013,24,240013,1,93,200
240014_2013,24,240014,1,98,201
240014_2013,24,240014,2,0,202
240015_2013,24,240015,1,93,203
240015_2013,24,240015,2,0,204
240016_2013,24,240016,1,93,205
240017_2013,24,240017,1,0,206
240017_2013,24,240017,2,0,207
240017_2013,24,240017,3,0,208
240017_2013,24,240017,4,0,209
240018_2013,24,240018,1,0,210
240019_2013,24,240019,1,0,211
240019_2013,24,240019,2,0,212
240020_2013,24,240020,1,93,213
240021_2013,24,240021,1,0,214
240022_2013,24,240022,1,93,215
240022_2013,24,240022,2,0,216
240022_2013,24,240022,3,0,217
240023_2013,24,240023,1,0,218
240024_2013,24,240024,1,93,219
240024_2013,24,240024,2,0,220
240025_2013,24,240025,1,0,221
240025_2013,24,240025,2,0,222
240026_2013,24,240026,1,0,223
240026_2013,24,240026,2,0,224
240027_2013,24,240027,1,0,225
240028_2013,24,240028,1,0,226
240029_2013,24,240029,1,0,227
240030_2013,24,240030,1,99,228
240031_2013,24,240031,1,93,229
240032_2013,24,240032,1,0,230
240033_2013,24,240033,1,93,231
240034_2013,24,240034,1,93,232
240034_2013,24,240034,2,0,233
240034_2013,24,240034,3,0,234
240035_2013,24,240035,1,0,235
240036_2013,24,240036,1,96,236
240036_2013,24,240036,2,0,237
240037_2013,24,240037,1,0,238
240038_2013,24,240038,1,0,239
240039_2013,24,240039,1,96,240
240040_2013,24,240040,1,0,241
240041_2013,24,240041,1,93,242
240041_2013,24,240041,2,0,243
240042_2013,24,240042,1,0,244
240042_2013,24,240042,2,0,245
240043_2013,24,240043,1,93,246
240044_2013,24,240044,1,0,247
240044_2013,24,240044,2,0,248
240045_2013,24,240045,1,0,249
240046_2013,24,240046,1,0,250
240047_2013,24,240047,1,0,251
240047_2013,24,240047,2,0,252
240048_2013,24,240048,1,0,253
240049_2013,24,240049,1,1,254
240050_2013,24,240050,1,99,255
240051_2013,24,240051,1,0,256
240051_2013,24,240051,2,0,257
240052_2013,24,240052,1,0,258
240052_2013,24,240052,2,0,259
240053_2013,24,240053,1,0,260
240053_2013,24,240053,2,0,261
240054_2013,24,240054,1,0,262
240054_2013,24,240054,2,0,263
240055_2013,24,240055,1,0,264
240056_2013,24,240056,1,0,265
240057_2013,24,240057,1,0,266
240058_2013,24,240058,1,93,267
240058_2013,24,240058,2,0,268
240059_2013,24,240059,1,0,269
240060_2013,24,240060,1,0,270
240061_2013,24,240061,1,93,271
240061_2013,24,240061,2,0,272
240062_2013,24,240062,1,93,273
240063_2013,24,240063,1,0,274
240064_2013,24,240064,1,93,275
240064_2013,24,240064,2,0,276
240065_2013,24,240065,1,99,277
240066_2013,24,240066,1,93,278
240067_2013,24,240067,1,0,279
240068_2013,24,240068,1,0,280
240069_2013,24,240069,1,0,281
240070_2013,24,240070,1,0,282
240071_2013,24,240071,1,93,283
240071_2013,24,240071,2,0,284
240071_2013,24,240071,3,0,285
240072_2013,24,240072,1,0,286
240072_2013,24,240072,2,0,287
240073_2013,24,240073,1,93,288
240073_2013,24,240073,2,0,289
240074_2013,24,240074,1,93,290
240075_2013,24,240075,1,0,291
240076_2013,24,240076,1,93,292
240076_2013,24,240076,2,0,293
240077_2013,24,240077,1,0,294
240077_2013,24,240077,2,0,295
240078_2013,24,240078,1,99,296
240079_2013,24,240079,1,0,297
240080_2013,24,240080,1,92,298
240081_2013,24,240081,1,0,299
240082_2013,24,240082,1,93,300
240082_2013,24,240082,2,0,301
240083_2013,24,240083,1,99,302
240084_2013,24,240084,1,99,303
240085_2013,24,240085,1,0,304
240086_2013,24,240086,1,93,305
240087_2013,24,240087,1,93,306
240087_2013,24,240087,2,0,307
240088_2013,24,240088,1,1,308
240088_2013,24,240088,2,0,309
240089_2013,24,240089,1,93,310
240089_2013,24,240089,2,0,311
240090_2013,24,240090,1,99,312
240090_2013,24,240090,2,0,313
240091_2013,24,240091,1,99,314
240092_2013,24,240092,1,0,315
240093_2013,24,240093,1,93,316
240093_2013,24,240093,2,0,317
240094_2013,24,240094,1,0,318
240094_2013,24,240094,2,96,319
240095_2013,24,240095,1,93,320
240096_2013,24,240096,1,93,321
240097_2013,24,240097,1,0,322
240098_2013,24,240098,1,99,323
240099_2013,24,240099,1,93,324
240099_2013,24,240099,2,0,325
240100_2013,24,240100,1,93,326
240101_2013,24,240101,1,93,327
240101_2013,24,240101,2,0,328
240102_2013,24,240102,1,0,329
240103_2013,24,240103,1,93,330
240103_2013,24,240103,2,0,331
240104_2013,24,240104,1,0,332
240105_2013,24,240105,1,0,333
240105_2013,24,240105,2,0,334
240106_2013,24,240106,1,93,335
240106_2013,24,240106,2,0,336
240107_2013,24,240107,1,93,337
240108_2013,24,240108,1,93,338
240108_2013,24,240108,2,0,339
240109_2013,24,240109,1,1,340
240110_2013,24,240110,1,1,341
240111_2013,24,240111,1,93,342
240111_2013,24,240111,2,0,343
240112_2013,24,240112,1,93,344
240112_2013,24,240112,2,0,345
240113_2013,24,240113,1,16,346
240114_2013,24,240114,1,0,347
240115_2013,24,240115,1,1,348
240116_2013,24,240116,1,0,349
240117_2013,24,240117,1,93,350
240117_2013,24,240117,2,0,351
240118_2013,24,240118,1,3,352
240119_2013,24,240119,1,0,353
240120_2013,24,240120,1,93,354
240121_2013,24,240121,1,1,355
240122_2013,24,240122,1,99,356
240123_2013,24,240123,1,1,357
240124_2013,24,240124,1,0,358
240125_2013,24,240125,1,0,359
240125_2013,24,240125,2,0,360
240126_2013,24,240126,1,93,361
240127_2013,24,240127,1,0,362
240128_2013,24,240128,1,93,363
240128_2013,24,240128,2,0,364
240129_2013,24,240129,1,93,365
240129_2013,24,240129,2,0,366
240130_2013,24,240130,1,0,367
240131_2013,24,240131,1,93,368
240132_2013,24,240132,1,93,369
240132_2013,24,240132,2,0,370
240133_2013,24,240133,1,0,371
240134_2013,24,240134,1,99,372
240134_2013,24,240134,2,0,373
240135_2013,24,240135,1,93,374
240135_2013,24,240135,2,0,375
240136_2013,24,240136,1,93,376
240137_2013,24,240137,1,0,377
240138_2013,24,240138,1,0,378
240139_2013,24,240139,1,0,379
240140_2013,24,240140,1,0,380
240141_2013,24,240141,1,0,381
240142_2013,24,240142,1,93,382
240143_2013,24,240143,1,99,383
240143_2013,24,240143,2,0,384
240144_2013,24,240144,1,0,385
240145_2013,24,240145,1,0,386
240146_2013,24,240146,1,93,387
240146_2013,24,240146,2,0,388
240147_2013,24,240147,1,0,389
240148_2013,24,240148,1,0,390
240148_2013,24,240148,2,0,391
240148_2013,24,240148,3,0,392
240149_2013,24,240149,1,93,393
240150_2013,24,240150,1,93,394
240151_2013,24,240151,1,93,395
240151_2013,24,240151,2,0,396
240151_2013,24,240151,3,0,397
240152_2013,24,240152,1,93,398
240153_2013,24,240153,1,0,399
240153_2013,24,240153,2,0,400
240154_2013,24,240154,1,93,401
240154_2013,24,240154,2,0,402
240155_2013,24,240155,1,93,403
240155_2013,24,240155,2,0,404
240156_2013,24,240156,1,93,405
240156_2013,24,240156,2,0,406
240157_2013,24,240157,1,93,407
240157_2013,24,240157,2,0,408
240158_2013,24,240158,1,93,409
240158_2013,24,240158,2,0,410
240159_2013,24,240159,1,0,411
240160_2013,24,240160,1,0,412
240160_2013,24,240160,2,0,413
240161_2013,24,240161,1,93,414
240162_2013,24,240162,1,0,415
240163_2013,24,240163,1,0,416
240164_2013,24,240164,1,0,417
240165_2013,24,240165,1,0,418
240166_2013,24,240166,1,93,419
240167_2013,24,240167,1,0,420
240168_2013,24,240168,1,93,421
240169_2013,24,240169,1,93,422
240169_2013,24,240169,2,0,423
240169_2013,24,240169,3,0,424
240170_2013,24,240170,1,0,425
240171_2013,24,240171,1,93,426
240171_2013,24,240171,2,0,427
240172_2013,24,240172,1,93,428
240173_2013,24,240173,1,93,429
240173_2013,24,240173,2,0,430
240174_2013,24,240174,1,1,431
240175_2013,24,240175,1,93,432
240175_2013,24,240175,2,0,433
240175_2013,24,240175,3,0,434
240175_2013,24,240175,4,0,435
240175_2013,24,240175,5,0,436
240176_2013,24,240176,1,93,437
240177_2013,24,240177,1,99,438
240178_2013,24,240178,1,0,439
240178_2013,24,240178,2,0,440
240179_2013,24,240179,1,93,441
240179_2013,24,240179,2,0,442
240179_2013,24,240179,3,0,443
240179_2013,24,240179,4,0,444
240180_2013,24,240180,1,93,445
240181_2013,24,240181,1,0,446
240181_2013,24,240181,2,0,447
240182_2013,24,240182,1,93,448
240182_2013,24,240182,2,0,449
