st_case_year,STATE,ST_CASE,VEH_NO,MDRDSTRD,idno
240354_2012,24,240354,3,0,1536
240355_2012,24,240355,1,0,1537
240356_2012,24,240356,1,93,1538
240356_2012,24,240356,2,0,1539
240356_2012,24,240356,3,96,1540
240357_2012,24,240357,1,0,1541
240357_2012,24,240357,2,0,1542
240358_2012,24,240358,1,98,1543
240358_2012,24,240358,2,0,1544
240358_2012,24,240358,3,0,1545
240359_2012,24,240359,1,93,1546
240360_2012,24,240360,1,0,1547
240361_2012,24,240361,1,0,1548
240362_2012,24,240362,1,0,1549
240362_2012,24,240362,2,0,1550
240363_2012,24,240363,1,92,1551
240363_2012,24,240363,2,0,1552
240364_2012,24,240364,1,0,1553
240365_2012,24,240365,1,93,1554
240365_2012,24,240365,2,0,1555
240366_2012,24,240366,1,0,1556
240366_2012,24,240366,2,0,1557
240366_2012,24,240366,3,0,1558
240366_2012,24,240366,4,0,1559
240367_2012,24,240367,1,93,1560
240367_2012,24,240367,2,0,1561
240367_2012,24,240367,3,0,1562
240367_2012,24,240367,4,0,1563
240368_2012,24,240368,1,0,1564
240368_2012,24,240368,2,0,1565
240369_2012,24,240369,1,0,1566
240370_2012,24,240370,1,0,1567
240370_2012,24,240370,2,0,1568
240371_2012,24,240371,1,0,1569
240372_2012,24,240372,1,93,1570
240372_2012,24,240372,2,0,1571
240372_2012,24,240372,3,0,1572
240373_2012,24,240373,1,93,1573
240374_2012,24,240374,1,1,1574
240375_2012,24,240375,1,0,1575
240375_2012,24,240375,2,0,1576
240376_2012,24,240376,1,0,1577
240377_2012,24,240377,1,93,1578
240377_2012,24,240377,2,0,1579
240378_2012,24,240378,1,93,1580
240379_2012,24,240379,1,93,1581
240380_2012,24,240380,1,99,1582
240380_2012,24,240380,2,0,1583
240380_2012,24,240380,3,0,1584
240381_2012,24,240381,1,0,1585
240382_2012,24,240382,1,0,1586
240382_2012,24,240382,2,0,1587
240383_2012,24,240383,1,0,1588
240384_2012,24,240384,1,93,1589
240385_2012,24,240385,1,93,1590
240386_2012,24,240386,1,0,1591
240387_2012,24,240387,1,0,1592
240387_2012,24,240387,2,0,1593
240388_2012,24,240388,1,0,1594
240389_2012,24,240389,1,99,1595
240390_2012,24,240390,1,0,1596
240391_2012,24,240391,1,0,1597
240392_2012,24,240392,1,0,1598
240393_2012,24,240393,1,0,1599
240394_2012,24,240394,1,93,1600
240394_2012,24,240394,2,0,1601
240395_2012,24,240395,1,0,1602
240395_2012,24,240395,2,0,1603
240396_2012,24,240396,1,93,1604
240396_2012,24,240396,2,0,1605
240397_2012,24,240397,1,0,1606
240397_2012,24,240397,2,0,1607
240397_2012,24,240397,3,0,1608
240398_2012,24,240398,1,0,1609
240399_2012,24,240399,1,93,1610
240399_2012,24,240399,2,0,1611
240400_2012,24,240400,1,93,1612
240401_2012,24,240401,1,0,1613
240401_2012,24,240401,2,0,1614
240402_2012,24,240402,1,93,1615
240402_2012,24,240402,2,0,1616
240403_2012,24,240403,1,0,1617
240404_2012,24,240404,1,93,1618
240405_2012,24,240405,1,0,1619
240405_2012,24,240405,2,0,1620
240405_2012,24,240405,3,0,1621
240406_2012,24,240406,1,0,1622
240407_2012,24,240407,1,0,1623
240408_2012,24,240408,1,99,1624
240409_2012,24,240409,1,0,1625
240409_2012,24,240409,2,0,1626
240409_2012,24,240409,3,0,1627
240410_2012,24,240410,1,1,1628
240411_2012,24,240411,1,0,1629
240412_2012,24,240412,1,0,1630
240412_2012,24,240412,2,0,1631
240413_2012,24,240413,1,0,1632
240414_2012,24,240414,1,0,1633
240414_2012,24,240414,2,0,1634
240415_2012,24,240415,1,0,1635
240415_2012,24,240415,2,0,1636
240416_2012,24,240416,1,0,1637
240416_2012,24,240416,2,0,1638
240417_2012,24,240417,1,0,1639
240417_2012,24,240417,2,99,1640
240418_2012,24,240418,1,93,1641
240418_2012,24,240418,2,0,1642
240419_2012,24,240419,1,0,1643
240419_2012,24,240419,2,0,1644
240420_2012,24,240420,1,0,1645
240421_2012,24,240421,1,93,1646
240421_2012,24,240421,2,0,1647
240422_2012,24,240422,1,93,1648
240423_2012,24,240423,1,6,1649
240424_2012,24,240424,1,0,1650
240425_2012,24,240425,1,0,1651
240426_2012,24,240426,1,10,1652
240427_2012,24,240427,1,0,1653
240428_2012,24,240428,1,96,1654
240429_2012,24,240429,1,96,1655
240430_2012,24,240430,1,0,1656
240430_2012,24,240430,2,0,1657
240431_2012,24,240431,1,93,1658
240432_2012,24,240432,1,0,1659
240433_2012,24,240433,1,93,1660
240433_2012,24,240433,2,0,1661
240434_2012,24,240434,1,0,1662
240435_2012,24,240435,1,0,1663
240435_2012,24,240435,2,0,1664
240435_2012,24,240435,3,0,1665
240436_2012,24,240436,1,93,1666
240437_2012,24,240437,1,0,1667
240438_2012,24,240438,1,0,1668
240438_2012,24,240438,2,0,1669
240439_2012,24,240439,1,0,1670
240439_2012,24,240439,2,0,1671
240440_2012,24,240440,1,93,1672
240441_2012,24,240441,1,0,1673
240442_2012,24,240442,1,93,1674
240442_2012,24,240442,2,0,1675
240443_2012,24,240443,1,93,1676
240443_2012,24,240443,2,0,1677
240444_2012,24,240444,1,93,1678
240444_2012,24,240444,2,0,1679
240444_2012,24,240444,3,0,1680
240445_2012,24,240445,1,0,1681
240445_2012,24,240445,2,0,1682
240445_2012,24,240445,3,0,1683
240446_2012,24,240446,1,93,1684
240446_2012,24,240446,2,0,1685
240447_2012,24,240447,1,0,1686
240447_2012,24,240447,2,0,1687
240448_2012,24,240448,1,0,1688
240449_2012,24,240449,1,0,1689
240450_2012,24,240450,1,93,1690
240451_2012,24,240451,1,0,1691
240451_2012,24,240451,2,0,1692
240452_2012,24,240452,1,0,1693
240452_2012,24,240452,2,99,1694
240453_2012,24,240453,1,0,1695
240453_2012,24,240453,2,0,1696
240454_2012,24,240454,1,0,1697
240454_2012,24,240454,2,0,1698
240455_2012,24,240455,1,0,1699
240456_2012,24,240456,1,92,1700
100001_2010,10,100001,1,0,1701
100001_2011,10,100001,1,0,1702
100001_2011,10,100001,2,99,1703
100002_2010,10,100002,1,0,1704
100002_2010,10,100002,2,0,1705
100002_2011,10,100002,1,99,1706
100002_2011,10,100002,2,0,1707
100003_2010,10,100003,1,0,1708
100003_2011,10,100003,1,0,1709
100003_2011,10,100003,2,0,1710
100004_2010,10,100004,1,5,1711
100004_2010,10,100004,2,0,1712
100004_2011,10,100004,1,0,1713
100005_2010,10,100005,1,12,1714
100005_2011,10,100005,1,99,1715
100005_2011,10,100005,2,0,1716
100006_2010,10,100006,1,0,1717
100006_2010,10,100006,2,0,1718
100006_2011,10,100006,1,99,1719
100007_2010,10,100007,1,0,1720
100007_2010,10,100007,2,0,1721
100007_2011,10,100007,1,0,1722
100007_2011,10,100007,2,0,1723
100007_2011,10,100007,3,99,1724
100008_2010,10,100008,1,99,1725
100008_2011,10,100008,1,0,1726
100009_2010,10,100009,1,0,1727
100009_2010,10,100009,2,99,1728
100009_2011,10,100009,1,99,1729
100010_2010,10,100010,1,0,1730
100010_2011,10,100010,1,0,1731
100011_2010,10,100011,1,0,1732
100011_2010,10,100011,2,0,1733
100011_2010,10,100011,3,0,1734
100011_2011,10,100011,1,0,1735
100011_2011,10,100011,2,99,1736
100012_2010,10,100012,1,0,1737
100012_2010,10,100012,2,0,1738
100012_2011,10,100012,1,99,1739
100012_2011,10,100012,2,0,1740
100013_2010,10,100013,1,0,1741
100013_2011,10,100013,1,99,1742
100013_2011,10,100013,2,0,1743
100014_2010,10,100014,1,0,1744
100014_2011,10,100014,1,0,1745
100014_2011,10,100014,2,0,1746
100014_2011,10,100014,3,0,1747
100015_2010,10,100015,1,0,1748
100015_2011,10,100015,1,99,1749
100015_2011,10,100015,2,0,1750
100016_2010,10,100016,1,0,1751
100016_2011,10,100016,1,99,1752
100017_2010,10,100017,1,0,1753
100017_2011,10,100017,1,99,1754
100018_2010,10,100018,1,0,1755
100018_2010,10,100018,2,0,1756
100018_2011,10,100018,1,99,1757
100019_2010,10,100019,1,0,1758
100019_2010,10,100019,2,0,1759
100019_2011,10,100019,1,99,1760
100019_2011,10,100019,2,0,1761
100020_2011,10,100020,1,0,1762
100021_2010,10,100021,1,0,1763
100021_2011,10,100021,1,99,1764
100021_2011,10,100021,2,0,1765
100022_2010,10,100022,1,0,1766
100022_2011,10,100022,1,0,1767
100023_2010,10,100023,1,99,1768
100023_2011,10,100023,1,0,1769
100023_2011,10,100023,2,0,1770
100024_2010,10,100024,1,97,1771
100024_2011,10,100024,1,99,1772
100025_2010,10,100025,1,12,1773
100025_2010,10,100025,2,0,1774
100025_2011,10,100025,1,99,1775
100026_2010,10,100026,1,0,1776
100026_2010,10,100026,2,99,1777
100026_2011,10,100026,1,99,1778
100027_2010,10,100027,1,96,1779
100027_2011,10,100027,1,0,1780
100027_2011,10,100027,2,99,1781
100028_2010,10,100028,1,99,1782
100028_2011,10,100028,1,0,1783
100029_2010,10,100029,1,7,1784
100029_2010,10,100029,2,0,1785
100029_2011,10,100029,1,99,1786
100030_2010,10,100030,1,0,1787
100030_2011,10,100030,1,99,1788
100031_2010,10,100031,1,0,1789
100031_2010,10,100031,2,0,1790
100031_2011,10,100031,1,99,1791
100032_2010,10,100032,1,0,1792
100032_2010,10,100032,2,99,1793
100032_2011,10,100032,1,99,1794
100033_2010,10,100033,1,0,1795
100033_2010,10,100033,2,0,1796
100033_2010,10,100033,3,0,1797
100033_2011,10,100033,1,0,1798
100034_2010,10,100034,1,99,1799
100034_2011,10,100034,1,99,1800
100035_2010,10,100035,1,0,1801
100035_2011,10,100035,1,0,1802
100036_2010,10,100036,1,0,1803
100036_2010,10,100036,2,0,1804
100036_2011,10,100036,1,0,1805
100037_2010,10,100037,1,99,1806
100037_2011,10,100037,1,99,1807
100037_2011,10,100037,2,99,1808
100038_2010,10,100038,1,0,1809
100038_2011,10,100038,1,0,1810
100038_2011,10,100038,2,99,1811
100039_2010,10,100039,1,99,1812
100039_2010,10,100039,2,0,1813
100039_2011,10,100039,1,0,1814
100039_2011,10,100039,2,0,1815
100040_2010,10,100040,1,0,1816
100040_2011,10,100040,1,0,1817
100041_2010,10,100041,1,99,1818
100041_2011,10,100041,1,99,1819
100042_2010,10,100042,1,99,1820
100042_2010,10,100042,2,16,1821
100042_2010,10,100042,3,16,1822
100042_2011,10,100042,1,99,1823
100043_2010,10,100043,1,0,1824
100043_2010,10,100043,2,0,1825
100043_2010,10,100043,3,0,1826
100043_2011,10,100043,1,99,1827
100043_2011,10,100043,2,0,1828
100044_2010,10,100044,1,99,1829
100044_2010,10,100044,2,0,1830
100044_2011,10,100044,1,99,1831
100045_2010,10,100045,1,99,1832
100045_2011,10,100045,1,0,1833
100045_2011,10,100045,2,0,1834
100046_2010,10,100046,1,99,1835
100046_2011,10,100046,1,99,1836
100047_2010,10,100047,1,0,1837
100047_2010,10,100047,2,99,1838
100047_2011,10,100047,1,99,1839
100047_2011,10,100047,2,99,1840
100048_2010,10,100048,1,0,1841
100048_2010,10,100048,2,0,1842
100048_2011,10,100048,1,99,1843
100049_2010,10,100049,1,0,1844
100049_2011,10,100049,1,99,1845
100050_2010,10,100050,1,0,1846
100050_2011,10,100050,1,0,1847
100050_2011,10,100050,2,0,1848
100050_2011,10,100050,3,99,1849
100051_2010,10,100051,1,99,1850
100051_2010,10,100051,2,0,1851
100051_2011,10,100051,1,99,1852
100051_2011,10,100051,2,0,1853
100052_2010,10,100052,1,99,1854
100052_2011,10,100052,1,0,1855
100052_2011,10,100052,2,0,1856
100053_2010,10,100053,1,0,1857
100053_2011,10,100053,1,99,1858
100054_2010,10,100054,1,99,1859
100054_2011,10,100054,1,0,1860
100055_2010,10,100055,1,99,1861
100055_2011,10,100055,1,0,1862
100055_2011,10,100055,2,0,1863
100056_2010,10,100056,1,0,1864
100056_2011,10,100056,1,99,1865
100057_2010,10,100057,1,0,1866
100057_2010,10,100057,2,0,1867
100057_2011,10,100057,1,99,1868
100058_2010,10,100058,1,99,1869
100058_2010,10,100058,2,0,1870
100058_2011,10,100058,1,0,1871
100058_2011,10,100058,2,0,1872
100059_2010,10,100059,1,0,1873
100059_2010,10,100059,2,99,1874
100059_2011,10,100059,1,99,1875
100060_2010,10,100060,1,99,1876
100060_2010,10,100060,2,99,1877
100060_2011,10,100060,1,0,1878
100060_2011,10,100060,2,0,1879
100061_2010,10,100061,1,99,1880
100061_2011,10,100061,1,0,1881
100062_2010,10,100062,1,99,1882
100062_2011,10,100062,1,0,1883
100063_2010,10,100063,1,0,1884
100063_2010,10,100063,2,13,1885
100063_2011,10,100063,1,99,1886
100064_2010,10,100064,1,99,1887
100064_2010,10,100064,2,99,1888
100064_2011,10,100064,1,0,1889
100064_2011,10,100064,2,99,1890
100065_2010,10,100065,1,99,1891
100065_2011,10,100065,1,0,1892
100066_2010,10,100066,1,99,1893
100066_2011,10,100066,1,0,1894
100067_2010,10,100067,1,0,1895
100067_2010,10,100067,2,99,1896
100067_2011,10,100067,1,0,1897
100067_2011,10,100067,2,0,1898
100068_2010,10,100068,1,0,1899
100068_2011,10,100068,1,92,1900
100068_2011,10,100068,2,0,1901
100068_2011,10,100068,3,0,1902
100069_2010,10,100069,1,99,1903
100069_2011,10,100069,1,99,1904
100069_2011,10,100069,2,99,1905
100069_2011,10,100069,3,0,1906
100070_2010,10,100070,1,99,1907
100070_2010,10,100070,2,99,1908
100070_2011,10,100070,1,0,1909
100071_2010,10,100071,1,0,1910
100071_2010,10,100071,2,99,1911
100071_2011,10,100071,1,99,1912
100071_2011,10,100071,2,0,1913
100072_2010,10,100072,1,0,1914
100072_2011,10,100072,1,0,1915
100072_2011,10,100072,2,0,1916
100072_2011,10,100072,3,92,1917
100073_2010,10,100073,1,0,1918
100073_2010,10,100073,2,0,1919
100073_2011,10,100073,1,0,1920
100074_2010,10,100074,1,0,1921
100074_2011,10,100074,1,0,1922
100074_2011,10,100074,2,0,1923
100074_2011,10,100074,3,0,1924
100074_2011,10,100074,4,0,1925
100074_2011,10,100074,5,0,1926
100074_2011,10,100074,6,99,1927
100075_2010,10,100075,1,0,1928
100075_2010,10,100075,2,99,1929
100075_2010,10,100075,3,0,1930
100075_2011,10,100075,1,99,1931
100076_2010,10,100076,1,99,1932
100076_2011,10,100076,1,99,1933
100077_2010,10,100077,1,0,1934
100077_2011,10,100077,1,99,1935
100077_2011,10,100077,2,0,1936
100078_2010,10,100078,1,99,1937
100078_2011,10,100078,1,99,1938
100079_2010,10,100079,1,99,1939
100079_2010,10,100079,2,0,1940
100079_2011,10,100079,1,0,1941
100079_2011,10,100079,2,99,1942
100080_2010,10,100080,1,99,1943
100080_2010,10,100080,2,0,1944
100080_2011,10,100080,1,92,1945
100081_2010,10,100081,1,99,1946
100081_2010,10,100081,2,0,1947
100081_2011,10,100081,1,98,1948
100082_2010,10,100082,1,0,1949
100082_2010,10,100082,2,0,1950
100082_2011,10,100082,1,0,1951
100083_2010,10,100083,1,92,1952
100083_2011,10,100083,1,99,1953
100083_2011,10,100083,2,0,1954
100084_2010,10,100084,1,0,1955
100084_2010,10,100084,2,98,1956
100084_2011,10,100084,1,0,1957
100085_2010,10,100085,1,0,1958
100085_2011,10,100085,1,99,1959
100086_2010,10,100086,1,0,1960
100086_2011,10,100086,1,99,1961
100087_2010,10,100087,1,0,1962
100087_2010,10,100087,2,99,1963
100087_2011,10,100087,1,0,1964
100087_2011,10,100087,2,1,1965
100088_2010,10,100088,1,0,1966
100088_2011,10,100088,1,99,1967
100089_2010,10,100089,1,0,1968
100089_2011,10,100089,1,99,1969
100090_2010,10,100090,1,99,1970
100090_2010,10,100090,2,0,1971
100090_2011,10,100090,1,0,1972
100091_2010,10,100091,1,0,1973
100091_2011,10,100091,1,0,1974
100092_2010,10,100092,1,99,1975
100092_2011,10,100092,1,0,1976
100093_2010,10,100093,1,99,1977
100093_2011,10,100093,1,99,1978
100094_2011,10,100094,1,0,1979
110001_2010,11,110001,1,96,1980
110001_2011,11,110001,1,99,1981
110001_2011,11,110001,2,0,1982
110002_2010,11,110002,1,96,1983
110002_2010,11,110002,2,16,1984
110002_2011,11,110002,1,99,1985
110003_2010,11,110003,1,99,1986
110003_2011,11,110003,1,96,1987
110004_2010,11,110004,1,0,1988
110004_2011,11,110004,1,96,1989
110005_2010,11,110005,1,96,1990
110005_2011,11,110005,1,99,1991
110006_2010,11,110006,1,0,1992
110006_2011,11,110006,1,0,1993
110006_2011,11,110006,2,96,1994
110007_2010,11,110007,1,0,1995
110007_2011,11,110007,1,99,1996
110008_2010,11,110008,1,96,1997
110008_2011,11,110008,1,0,1998
110009_2010,11,110009,1,0,1999
110009_2010,11,110009,2,99,2000
110009_2011,11,110009,1,99,2001
110010_2010,11,110010,1,1,2002
110010_2011,11,110010,1,0,2003
110011_2010,11,110011,1,99,2004
110011_2010,11,110011,2,99,2005
110011_2011,11,110011,1,0,2006
110011_2011,11,110011,2,0,2007
110012_2010,11,110012,1,99,2008
110012_2011,11,110012,1,96,2009
110013_2010,11,110013,1,92,2010
110013_2011,11,110013,1,96,2011
110014_2010,11,110014,1,99,2012
110014_2011,11,110014,1,99,2013
110015_2010,11,110015,1,99,2014
110015_2011,11,110015,1,99,2015
110016_2010,11,110016,1,0,2016
110016_2011,11,110016,1,0,2017
110016_2011,11,110016,2,99,2018
110017_2010,11,110017,1,99,2019
110017_2010,11,110017,2,0,2020
110017_2010,11,110017,3,0,2021
110017_2011,11,110017,1,99,2022
110017_2011,11,110017,2,0,2023
110018_2010,11,110018,1,99,2024
110018_2011,11,110018,1,99,2025
110019_2010,11,110019,1,99,2026
110019_2011,11,110019,1,0,2027
110020_2010,11,110020,1,0,2028
110020_2011,11,110020,1,0,2029
110021_2010,11,110021,1,99,2030
110021_2010,11,110021,2,16,2031
110021_2010,11,110021,3,16,2032
110021_2011,11,110021,1,15,2033
110022_2010,11,110022,1,99,2034
110022_2011,11,110022,1,0,2035
110022_2011,11,110022,2,96,2036
110022_2011,11,110022,3,0,2037
110023_2010,11,110023,1,96,2038
110024_2010,11,110024,1,96,2039
240001_2010,24,240001,1,0,2040
240001_2011,24,240001,1,0,2041
240002_2010,24,240002,1,0,2042
240002_2011,24,240002,1,92,2043
240002_2011,24,240002,2,0,2044
240003_2010,24,240003,1,0,2045
240003_2010,24,240003,2,96,2046
240003_2010,24,240003,3,0,2047
240003_2011,24,240003,1,0,2048
240004_2010,24,240004,1,99,2049
240004_2010,24,240004,2,16,2050
240004_2011,24,240004,1,0,2051
240004_2011,24,240004,2,0,2052
240004_2011,24,240004,3,0,2053
240005_2010,24,240005,1,0,2054
240005_2011,24,240005,1,0,2055
240006_2010,24,240006,1,96,2056
240006_2011,24,240006,1,0,2057
240006_2011,24,240006,2,16,2058
240007_2010,24,240007,1,96,2059
240007_2011,24,240007,1,0,2060
240008_2010,24,240008,1,96,2061
240008_2010,24,240008,2,96,2062
240008_2011,24,240008,1,96,2063
240009_2010,24,240009,1,96,2064
240009_2011,24,240009,1,0,2065
240009_2011,24,240009,2,0,2066
240010_2010,24,240010,1,98,2067
240010_2011,24,240010,1,0,2068
240010_2011,24,240010,2,96,2069
240011_2010,24,240011,1,92,2070
240011_2011,24,240011,1,0,2071
240012_2010,24,240012,1,0,2072
240012_2011,24,240012,1,0,2073
240012_2011,24,240012,2,0,2074
240013_2010,24,240013,1,0,2075
240013_2011,24,240013,1,0,2076
240014_2010,24,240014,1,0,2077
240015_2010,24,240015,1,92,2078
240015_2011,24,240015,1,0,2079
240016_2010,24,240016,1,96,2080
240016_2010,24,240016,2,0,2081
240016_2011,24,240016,1,96,2082
240017_2010,24,240017,1,0,2083
240017_2011,24,240017,1,96,2084
240017_2011,24,240017,2,96,2085
240018_2010,24,240018,1,96,2086
240018_2010,24,240018,2,16,2087
240018_2011,24,240018,1,92,2088
240019_2010,24,240019,1,0,2089
240019_2011,24,240019,1,92,2090
240019_2011,24,240019,2,96,2091
240020_2010,24,240020,1,96,2092
240020_2011,24,240020,1,0,2093
240020_2011,24,240020,2,0,2094
240021_2010,24,240021,1,99,2095
240021_2010,24,240021,2,99,2096
240021_2011,24,240021,1,0,2097
240022_2010,24,240022,1,96,2098
240022_2011,24,240022,1,0,2099
240022_2011,24,240022,2,0,2100
240023_2010,24,240023,1,1,2101
240023_2011,24,240023,1,99,2102
240024_2010,24,240024,1,1,2103
240024_2010,24,240024,2,96,2104
240024_2011,24,240024,1,92,2105
240024_2011,24,240024,2,16,2106
240025_2010,24,240025,1,1,2107
240025_2011,24,240025,1,16,2108
240025_2011,24,240025,2,0,2109
240026_2010,24,240026,1,0,2110
240026_2011,24,240026,1,92,2111
240026_2011,24,240026,2,96,2112
240027_2010,24,240027,1,0,2113
240027_2011,24,240027,1,92,2114
240027_2011,24,240027,2,0,2115
240028_2010,24,240028,1,0,2116
240028_2011,24,240028,1,99,2117
240029_2010,24,240029,1,96,2118
240029_2011,24,240029,1,92,2119
240030_2010,24,240030,1,96,2120
240030_2010,24,240030,2,96,2121
240030_2011,24,240030,1,99,2122
240030_2011,24,240030,2,0,2123
240031_2010,24,240031,1,0,2124
240031_2011,24,240031,1,96,2125
240032_2010,24,240032,1,96,2126
240032_2010,24,240032,2,96,2127
240032_2011,24,240032,1,92,2128
240032_2011,24,240032,2,0,2129
240033_2010,24,240033,1,0,2130
240033_2010,24,240033,2,96,2131
240033_2011,24,240033,1,96,2132
240034_2010,24,240034,1,96,2133
240034_2010,24,240034,2,16,2134
240034_2011,24,240034,1,96,2135
240035_2010,24,240035,1,0,2136
240035_2010,24,240035,2,96,2137
240035_2010,24,240035,3,96,2138
240035_2011,24,240035,1,0,2139
240035_2011,24,240035,2,0,2140
240036_2010,24,240036,1,96,2141
240036_2011,24,240036,1,92,2142
240036_2011,24,240036,2,0,2143
240037_2010,24,240037,1,0,2144
240037_2011,24,240037,1,0,2145
240038_2010,24,240038,1,0,2146
240038_2010,24,240038,2,0,2147
240038_2011,24,240038,1,0,2148
240038_2011,24,240038,2,0,2149
240039_2010,24,240039,1,0,2150
240039_2010,24,240039,2,98,2151
240039_2011,24,240039,1,0,2152
240040_2010,24,240040,1,98,2153
240040_2010,24,240040,2,98,2154
240040_2011,24,240040,1,0,2155
240041_2011,24,240041,1,1,2156
240042_2010,24,240042,1,0,2157
240042_2011,24,240042,1,96,2158
240043_2010,24,240043,1,96,2159
240043_2011,24,240043,1,92,2160
240043_2011,24,240043,2,0,2161
240044_2010,24,240044,1,96,2162
240044_2011,24,240044,1,0,2163
240045_2010,24,240045,1,0,2164
240045_2011,24,240045,1,92,2165
240046_2010,24,240046,1,96,2166
240046_2010,24,240046,2,96,2167
240046_2010,24,240046,3,96,2168
240046_2011,24,240046,1,92,2169
240047_2010,24,240047,1,96,2170
240047_2011,24,240047,1,0,2171
240047_2011,24,240047,2,0,2172
240048_2010,24,240048,1,0,2173
240048_2010,24,240048,2,0,2174
240048_2010,24,240048,3,0,2175
240048_2011,24,240048,1,92,2176
240049_2010,24,240049,1,96,2177
240049_2011,24,240049,1,0,2178
240049_2011,24,240049,2,0,2179
240050_2010,24,240050,1,0,2180
240050_2010,24,240050,2,96,2181
240050_2011,24,240050,1,0,2182
240050_2011,24,240050,2,0,2183
240051_2010,24,240051,1,0,2184
240051_2011,24,240051,1,0,2185
240052_2010,24,240052,1,96,2186
240052_2011,24,240052,1,92,2187
240053_2010,24,240053,1,96,2188
240053_2011,24,240053,1,92,2189
240054_2010,24,240054,1,0,2190
240054_2010,24,240054,2,0,2191
240054_2011,24,240054,1,92,2192
240054_2011,24,240054,2,0,2193
240054_2011,24,240054,3,0,2194
240055_2010,24,240055,1,0,2195
240055_2011,24,240055,1,92,2196
240056_2010,24,240056,1,0,2197
240056_2010,24,240056,2,96,2198
240056_2011,24,240056,1,0,2199
240057_2010,24,240057,1,96,2200
240057_2011,24,240057,1,0,2201
240058_2010,24,240058,1,0,2202
240058_2010,24,240058,2,16,2203
240058_2010,24,240058,3,16,2204
240058_2011,24,240058,1,0,2205
240058_2011,24,240058,2,96,2206
240059_2010,24,240059,1,1,2207
240059_2011,24,240059,1,92,2208
240059_2011,24,240059,2,96,2209
240060_2010,24,240060,1,0,2210
240060_2010,24,240060,2,0,2211
240060_2010,24,240060,3,0,2212
240060_2011,24,240060,1,96,2213
240061_2010,24,240061,1,0,2214
240061_2011,24,240061,1,92,2215
240061_2011,24,240061,3,0,2216
240062_2010,24,240062,1,0,2217
240062_2010,24,240062,2,96,2218
240062_2011,24,240062,1,0,2219
240063_2010,24,240063,1,96,2220
240063_2010,24,240063,2,96,2221
240063_2011,24,240063,1,0,2222
240063_2011,24,240063,2,0,2223
240064_2010,24,240064,1,0,2224
240064_2010,24,240064,2,96,2225
240064_2011,24,240064,1,92,2226
240064_2011,24,240064,2,96,2227
240065_2010,24,240065,1,96,2228
240065_2011,24,240065,1,92,2229
240065_2011,24,240065,2,0,2230
240065_2011,24,240065,3,0,2231
240066_2010,24,240066,1,96,2232
240066_2011,24,240066,1,92,2233
240067_2010,24,240067,1,0,2234
240067_2010,24,240067,2,0,2235
240067_2011,24,240067,1,96,2236
240067_2011,24,240067,2,96,2237
240068_2010,24,240068,1,0,2238
240068_2011,24,240068,1,96,2239
240068_2011,24,240068,2,96,2240
240069_2010,24,240069,1,1,2241
240069_2011,24,240069,1,92,2242
240070_2010,24,240070,1,0,2243
240070_2010,24,240070,2,0,2244
240070_2011,24,240070,1,92,2245
240071_2010,24,240071,1,96,2246
240071_2010,24,240071,2,0,2247
240071_2011,24,240071,1,96,2248
240071_2011,24,240071,2,96,2249
240071_2011,24,240071,3,96,2250
240072_2010,24,240072,1,96,2251
240072_2011,24,240072,1,92,2252
240072_2011,24,240072,2,0,2253
240073_2010,24,240073,1,96,2254
240073_2010,24,240073,2,96,2255
240073_2010,24,240073,3,0,2256
240073_2010,24,240073,4,0,2257
240073_2011,24,240073,1,96,2258
240073_2011,24,240073,2,0,2259
240074_2010,24,240074,1,1,2260
240074_2011,24,240074,1,92,2261
240075_2010,24,240075,1,0,2262
240075_2011,24,240075,1,0,2263
240075_2011,24,240075,2,96,2264
240076_2010,24,240076,1,96,2265
240076_2011,24,240076,1,96,2266
240077_2010,24,240077,1,0,2267
240077_2010,24,240077,2,0,2268
240077_2010,24,240077,3,0,2269
240077_2011,24,240077,1,96,2270
240077_2011,24,240077,2,0,2271
240078_2010,24,240078,1,96,2272
240078_2011,24,240078,1,0,2273
240079_2010,24,240079,1,92,2274
240079_2011,24,240079,1,92,2275
240079_2011,24,240079,2,96,2276
240080_2010,24,240080,1,0,2277
240080_2011,24,240080,1,96,2278
240081_2010,24,240081,1,0,2279
240081_2011,24,240081,1,92,2280
240082_2010,24,240082,1,96,2281
240082_2010,24,240082,2,96,2282
240082_2011,24,240082,1,92,2283
240083_2010,24,240083,1,0,2284
240083_2010,24,240083,2,0,2285
240083_2011,24,240083,1,92,2286
240083_2011,24,240083,2,96,2287
240083_2011,24,240083,3,0,2288
240084_2010,24,240084,1,0,2289
240084_2010,24,240084,2,0,2290
240084_2011,24,240084,1,96,2291
240084_2011,24,240084,2,16,2292
240085_2010,24,240085,1,96,2293
240085_2011,24,240085,1,96,2294
240086_2010,24,240086,1,0,2295
240086_2010,24,240086,2,0,2296
240086_2011,24,240086,1,92,2297
240087_2010,24,240087,1,0,2298
240087_2010,24,240087,2,16,2299
240087_2010,24,240087,3,0,2300
240087_2011,24,240087,1,96,2301
240088_2010,24,240088,1,96,2302
240088_2010,24,240088,2,0,2303
240088_2011,24,240088,1,0,2304
240088_2011,24,240088,2,0,2305
240089_2010,24,240089,1,96,2306
240089_2010,24,240089,2,96,2307
240089_2011,24,240089,1,0,2308
240090_2010,24,240090,1,0,2309
240090_2010,24,240090,2,99,2310
