st_case_year,STATE,ST_CASE,VEH_NO,VE_FORMS,NUMOCCS,DAY,MONTH,HOUR,MINUTE,HARM_EV,MAN_COLL,UNITTYPE,HIT_RUN,REG_STAT,OWNER,MAKE,MODEL,MAK_MOD,BODY_TYP,MOD_YEAR,VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,TOW_VEH,J_KNIFE,MCARR_I1,MCARR_I2,MCARR_ID,GVWR,V_CONFIG,CARGO_BT,HAZ_INV,HAZ_PLAC,HAZ_ID,HAZ_CNO,HAZ_REL,BUS_USE,SPEC_USE,EMER_USE,TRAV_SP,UNDERIDE,ROLLOVER,ROLINLOC,IMPACT1,DEFORMED,TOWED,M_HARM,VEH_SC1,VEH_SC2,FIRE_EXP,DR_PRES,L_STATE,DR_ZIP,L_STATUS,L_TYPE,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,DR_HGT,DR_WGT,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,FIRST_MO,FIRST_YR,LAST_MO,LAST_YR,SPEEDREL,DR_SF1,DR_SF2,DR_SF3,DR_SF4,VTRAFWAY,VNUM_LAN,VSPD_LIM,VALIGN,VPROFILE,VPAVETYP,VSURCOND,VTRAFCON,VTCONT_F,P_CRASH1,P_CRASH2,P_CRASH3,PCRASH4,PCRASH5,ACC_TYPE,DEATHS,DR_DRINK,idno
100015_2013,10,100015,2,2,1,14,2,14,24,12,6,1,0,10,1,14,15,14015,2,1992,1MEPM31X8NK6,1,M,E,P,M,3,1,X,8,N,K,6,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,998,0,0,0,1,6,2,12,0,0,0,1,10,19810,6,1,6,0,3,0,71,240,0,0,0,0,0,0,0,0,0,0,28,0,0,0,2,2,40,1,1,2,1,1,3,11,15,1,1,2,68,0,0,22
100016_2013,10,100016,1,1,1,13,3,20,5,8,0,1,0,42,1,48,45,48045,5,2011,4S4BRDLC3B23,4,S,4,B,R,D,L,C,3,B,2,3,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,998,0,0,0,12,2,5,8,0,0,0,1,42,19348,6,1,0,0,3,1,70,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,35,1,1,2,1,0,0,1,80,2,1,1,13,0,0,23
100017_2013,10,100017,1,1,1,19,3,1,39,53,0,1,0,10,1,20,421,20421,15,2001,1GNEK13T21J1,1,G,N,E,K,1,3,T,2,1,J,1,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,66,0,0,0,12,6,2,42,0,0,0,1,10,19731,6,1,0,0,3,0,67,180,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,35,1,1,2,2,0,0,1,13,1,1,4,1,1,1,24
100018_2013,10,100018,1,2,1,19,3,16,5,12,6,1,0,10,2,55,37,55037,2,2008,KMHHM66D08U2,K,M,H,H,M,6,6,D,0,8,U,2,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,11,6,2,12,0,0,0,1,10,19952,6,1,0,0,3,0,64,120,0,0,0,2,0,7,2012,7,2012,0,38,0,0,0,0,0,0,0,0,0,0,0,0,16,51,1,1,2,89,0,0,25
100018_2013,10,100018,2,2,2,19,3,16,5,12,6,1,0,10,1,72,706,72706,80,2000,1HD1CGP12YK1,1,H,D,1,C,G,P,1,2,Y,K,1,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,12,6,2,12,0,0,0,1,10,19962,6,1,0,0,3,0,72,160,0,0,0,1,0,10,2012,10,2012,0,0,0,0,0,5,2,40,1,1,2,1,0,0,1,63,2,1,1,88,1,1,26
100019_2013,10,100019,1,1,1,30,3,4,5,8,0,1,0,10,3,12,16,12016,4,2006,2FAHP71W56X1,2,F,A,H,P,7,1,W,5,6,X,1,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,89,0,0,0,12,6,2,8,0,0,0,1,10,19720,6,1,0,0,3,0,68,165,0,0,0,0,0,0,0,0,0,3,16,0,0,0,3,2,45,1,6,2,1,0,0,1,80,1,1,1,13,0,0,27
100020_2013,10,100020,1,1,1,6,4,22,28,42,0,1,0,10,1,2,404,2404,14,2001,1J4GW48S21C6,1,J,4,G,W,4,8,S,2,1,C,6,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,23,0,0,0,12,6,2,42,0,0,0,1,10,19966,6,1,0,0,3,0,62,180,0,0,0,0,0,0,0,0,0,3,58,0,0,0,2,2,55,3,1,2,1,0,0,14,13,6,2,5,2,1,1,28
100021_2013,10,100021,1,3,1,16,4,15,30,24,0,1,0,10,1,41,51,41051,4,2011,JM1BL1K41B13,J,M,1,B,L,1,K,4,1,B,1,3,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,65,0,0,0,13,6,2,12,0,0,0,1,10,19734,6,1,0,0,3,0,68,185,0,0,0,1,0,11,2010,11,2010,3,0,0,0,0,3,6,65,1,1,1,1,0,0,1,64,1,1,3,98,1,0,29
100021_2013,10,100021,2,3,2,16,4,15,30,24,0,1,0,10,2,22,441,22441,20,2002,1GMDU03E42D2,1,G,M,D,U,0,3,E,4,2,D,2,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,90,0,0,0,12,6,2,12,0,0,0,1,10,19720,6,1,0,0,3,3,66,140,0,0,0,0,0,0,0,0,0,4,8,0,0,0,3,6,65,1,1,1,1,0,0,17,10,1,2,4,98,0,0,30
100021_2013,10,100021,3,3,1,16,4,15,30,24,0,1,0,10,1,49,46,49046,3,2010,JTDKN3DU6A10,J,T,D,K,N,3,D,U,6,A,1,0,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,65,0,0,0,11,2,5,12,0,0,0,1,42,19350,6,1,0,0,3,0,72,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,65,1,1,1,1,0,0,1,90,1,1,9,98,0,1,31
100022_2013,10,100022,1,2,3,20,4,19,15,12,6,1,0,10,2,7,43,7043,4,2006,1B3EL46X86N1,1,B,3,E,L,4,6,X,8,6,N,1,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,998,0,0,0,12,6,2,12,0,0,0,1,10,19808,6,1,0,0,3,3,69,150,0,0,0,0,0,0,0,0,0,0,39,0,0,0,2,6,45,1,8,2,1,20,3,1,17,1,1,1,86,0,1,32
100022_2013,10,100022,2,2,2,20,4,19,15,12,6,1,0,10,2,2,403,2403,14,2004,1J4FA291X4P7,1,J,4,F,A,2,9,1,X,4,P,7,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,998,0,0,0,82,6,2,12,0,0,0,1,10,19808,6,2,0,0,3,3,71,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,45,1,8,2,1,0,0,1,66,1,1,1,87,1,0,33
100023_2013,10,100023,1,1,1,28,4,2,19,30,0,1,0,10,1,73,709,73709,80,2011,JKAZXCJ11BA0,J,K,A,Z,X,C,J,1,1,B,A,0,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,50,0,0,0,12,6,2,30,0,0,0,1,10,19709,6,1,0,0,3,3,67,141,0,1,0,0,1,6,2012,8,2012,4,0,0,0,0,1,2,50,3,1,2,1,0,0,14,13,1,2,4,2,1,1,34
100024_2013,10,100024,1,1,2,30,4,15,15,1,0,1,0,10,1,12,481,12481,31,1986,1FTEF14HXGNB,1,F,T,E,F,1,4,H,X,G,N,B,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,60,0,2,5,0,6,2,1,0,0,0,1,10,19947,6,1,0,0,3,0,75,240,0,0,0,0,0,0,0,0,0,4,58,0,0,0,1,2,50,1,1,2,2,0,0,1,11,6,2,4,2,1,1,35
100025_2013,10,100025,1,1,1,10,5,1,30,42,0,1,0,10,3,20,4,20004,2,2000,1G1YY22G2Y51,1,G,1,Y,Y,2,2,G,2,Y,5,1,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,80,0,0,0,9,6,2,42,0,0,0,1,10,19939,6,1,0,0,3,0,71,230,0,0,0,0,0,0,0,0,0,3,8,0,0,0,3,4,55,1,1,2,1,0,0,3,10,1,2,4,7,1,1,36
100026_2013,10,100026,1,1,1,15,5,13,21,42,0,1,0,10,1,2,403,2403,14,2009,1J4GA391X9L7,1,J,4,G,A,3,9,1,X,9,L,7,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,70,0,0,0,12,6,2,42,0,0,0,1,10,19702,6,1,0,0,3,0,68,180,0,0,0,0,1,8,2011,8,2011,4,6,0,0,0,1,2,40,1,1,2,2,0,0,1,13,1,2,4,2,1,1,37
100027_2013,10,100027,1,2,2,20,5,17,3,12,1,1,0,10,2,37,706,37706,80,2002,JH2SC50022M0,J,H,2,S,C,5,0,0,2,2,M,0,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,90,0,0,0,12,6,2,12,0,0,0,1,10,19956,2,1,0,0,2,0,75,240,0,3,2,0,1,11,2010,2,2012,3,8,37,0,0,1,2,35,1,1,2,1,0,0,1,51,1,1,5,24,1,1,38
100027_2013,10,100027,2,2,1,20,5,17,3,12,1,1,0,10,1,12,481,12481,31,2007,1FTRW12W27FB,1,F,T,R,W,1,2,W,2,7,F,B,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,35,0,0,0,6,4,3,12,0,0,0,1,10,19973,6,1,0,0,3,0,70,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,35,1,1,2,1,0,0,2,53,1,1,5,25,0,0,39
100028_2013,10,100028,1,3,1,25,5,12,4,12,1,1,0,10,1,23,471,23471,30,1987,1GTCS14R2H25,1,G,T,C,S,1,4,R,2,H,2,5,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,90,3,0,0,12,6,2,12,0,0,0,1,10,19805,1,1,0,0,2,3,69,203,0,0,0,0,0,0,0,0,0,4,26,0,0,0,3,3,65,1,1,2,1,0,0,15,11,1,1,1,24,1,1,40
100028_2013,10,100028,2,3,1,25,5,12,4,12,1,1,0,18,3,82,881,82881,66,2012,1FUJGEDV1CSB,1,F,U,J,G,E,D,V,1,C,S,B,1,1,18,107972000,18107972000,3,6,2,1,0,0,0,0,0,0,0,45,0,0,0,6,6,2,12,0,0,0,1,51,23454,6,1,6,1,3,0,74,240,0,0,0,0,1,5,2011,5,2011,0,0,0,0,0,3,3,65,1,1,2,1,0,0,1,53,1,1,1,25,0,0,41
100028_2013,10,100028,3,3,3,25,5,12,4,12,1,1,0,42,2,12,473,12473,30,2005,1FMDU74W85UA,1,F,M,D,U,7,4,W,8,5,U,A,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,65,0,0,0,12,2,5,18,0,0,0,1,42,19070,6,1,0,0,3,0,71,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,65,1,1,2,1,0,0,1,92,1,1,2,98,0,0,42
100029_2013,10,100029,1,1,2,25,5,16,0,42,0,1,0,10,2,49,40,49040,4,2004,4T1BE32KX4U3,4,T,1,B,E,3,2,K,X,4,U,3,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,50,0,0,0,12,6,2,42,0,0,0,1,10,19971,6,1,0,0,3,0,65,135,0,0,0,0,0,0,0,0,0,0,52,0,0,0,1,2,50,1,1,2,1,0,0,1,13,6,2,5,2,2,0,43
100030_2013,10,100030,1,2,1,28,5,13,9,12,9,1,0,10,1,2,403,2403,14,1995,1J4FY19P8SP2,1,J,4,F,Y,1,9,P,8,S,P,2,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,6,6,2,12,0,0,0,1,10,19720,6,1,0,0,3,0,64,130,0,0,0,1,0,2,2012,2,2012,0,28,31,0,0,2,2,55,1,1,2,1,0,0,13,11,1,1,2,92,1,1,44
100030_2013,10,100030,2,2,4,28,5,13,9,12,9,1,0,10,2,32,43,32043,4,1998,WAUED28D1WA1,W,A,U,E,D,2,8,D,1,W,A,1,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,0,0,0,11,6,2,12,0,0,0,1,10,19709,6,1,0,0,3,3,71,152,0,0,0,1,1,2,2012,8,2012,0,0,0,0,0,2,2,55,1,1,2,1,0,0,1,60,6,1,1,93,0,0,45
100031_2013,10,100031,1,2,1,30,5,5,49,12,6,1,0,10,3,12,481,12481,31,1999,1FDXF46F6XEB,1,F,D,X,F,4,6,F,6,X,E,B,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,55,0,0,0,12,6,2,12,0,0,0,1,10,19734,6,1,6,3,3,3,70,175,0,0,0,1,0,9,2010,9,2010,0,0,0,0,0,2,4,55,1,1,2,1,0,0,1,65,1,1,2,88,0,0,46
100031_2013,10,100031,2,2,1,30,5,5,49,12,6,1,0,10,1,35,50,35050,4,2012,3N1CN7AP6CL8,3,N,1,C,N,7,A,P,6,C,L,8,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,9,6,2,12,0,0,0,1,10,19938,6,1,0,0,3,3,62,130,0,0,0,2,0,10,2010,1,2013,0,38,0,0,0,2,4,55,1,1,2,1,20,3,1,17,1,1,2,89,1,1,47
100032_2013,10,100032,1,5,2,30,5,7,30,12,7,1,0,10,1,37,32,37032,2,1994,1HGCD7229RA0,1,H,G,C,D,7,2,2,9,R,A,0,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,65,0,0,0,9,6,2,12,0,0,0,1,10,19802,6,1,0,0,3,0,66,195,0,0,0,0,0,0,0,0,0,0,27,0,0,0,3,6,55,1,1,1,1,0,0,15,10,1,1,2,45,1,1,48
100032_2013,10,100032,2,5,1,30,5,7,30,12,7,1,1,39,3,84,881,84881,66,2013,3HSDJSJR2DN6,3,H,S,D,J,S,J,R,2,D,N,6,1,1,39,195289700,39195289700,3,6,2,1,0,0,0,0,0,0,0,55,0,0,0,3,2,5,12,0,0,0,1,51,24017,6,1,6,3,3,0,72,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,55,1,1,1,1,0,0,1,60,1,1,2,44,0,0,49
100032_2013,10,100032,3,5,1,30,5,7,30,12,7,1,0,42,2,12,17,12017,4,2003,1FAFP53U03G2,1,F,A,F,P,5,3,U,0,3,G,2,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,55,0,0,0,63,4,3,12,0,0,0,1,42,19352,6,1,0,0,3,3,71,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,55,1,1,1,1,0,0,1,62,1,1,3,98,0,0,50
