st_case_year,STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR,idno
100001_2013,10,100001,2,2,0,0,0,2,2,3,0,3,1,2013,5,22,49,0,14,3,SR-58,"IROQUOIS COURT RD",19,39.68551944,-75.63404167,0,12,2,0,2,3,0,1,3,10,0,10,0,0000000,22,50,22,54,23,25,0,0,0,1,1,1
100002_2013,10,100002,1,1,0,1,1,1,1,3,0,3,1,2013,5,18,4,0,14,2,US-13,NULL,19,39.77900833,-75.47793611,0,8,0,0,1,1,1,1,2,10,0,10,0,0000000,18,7,18,7,88,88,0,0,0,1,0,2
100003_2013,10,100003,1,1,0,1,1,3,3,3,0,13,1,2013,1,12,25,0,13,3,SR-4,"HARMONY ROAD",16,39.68561111,-75.68161111,0,8,0,0,3,2,0,1,1,10,0,10,0,0000000,12,25,12,32,12,38,0,0,0,1,0,3
100004_2013,10,100004,2,2,0,0,0,3,3,5,0,7,1,2013,2,9,0,0,4,6,CR-40,"OAK ROAD",36,38.75145,-75.53214167,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,9,3,9,12,10,1,0,0,0,1,0,4
100005_2013,10,100005,1,1,0,0,0,1,1,1,0,21,1,2013,2,23,27,0,4,3,SR-6,NULL,52,39.28468056,-75.66768333,0,42,0,0,1,1,0,5,2,4,0,4,0,0000000,23,29,23,38,88,88,0,0,0,1,1,5
100006_2013,10,100006,1,1,0,0,0,1,1,3,0,26,1,2013,7,0,48,0,13,2,US-40,"WILTON BLVD",4,39.65085833,-75.622325,0,30,0,0,1,1,0,4,3,1,0,1,0,0000000,0,59,1,5,1,57,20,0,0,1,1,6
100007_2013,10,100007,2,2,0,0,0,6,6,3,0,25,1,2013,6,19,45,0,16,8,"WILTON BLVD","CANDLEWICK COURT",4,39.65551389,-75.62541389,0,12,2,0,2,3,0,1,3,10,4,4,0,0000000,99,99,99,99,99,99,0,0,0,1,1,7
100008_2013,10,100008,1,1,0,0,0,1,1,5,0,7,2,2013,5,13,2,0,4,3,SR-16,NULL,119,38.80769722,-75.46984444,0,30,0,0,1,1,0,4,1,1,0,1,0,0000000,13,7,13,12,88,88,0,0,0,1,0,8
100009_2013,10,100009,2,2,0,1,1,3,3,3,0,11,2,2013,2,18,0,0,13,3,SR-2,"POLLYDRUMMOND HILL ROAD",90,39.69791389,-75.70919167,0,8,0,0,2,2,0,1,2,10,0,10,0,0000000,17,59,18,5,18,45,0,0,0,1,0,9
100010_2013,10,100010,1,1,0,0,0,1,1,3,0,10,2,2013,1,8,53,0,13,3,SR-4,NULL,22,39.68386389,-75.68628611,0,33,0,0,1,1,0,4,1,1,0,1,0,0000000,8,59,9,5,9,26,0,0,0,1,1,10
100011_2013,10,100011,2,2,0,0,0,3,3,3,0,11,2,2013,2,13,21,0,13,3,SR-4,NULL,27,39.69689444,-75.65624444,0,12,6,0,7,1,0,1,1,10,0,10,0,0000000,88,88,88,88,88,88,0,0,0,1,0,11
100012_2013,10,100012,1,1,0,1,1,1,1,1,0,19,2,2013,3,20,7,0,13,2,US-13,NULL,25,39.12751389,-75.53090278,0,8,0,0,1,1,0,1,3,10,0,10,0,0000000,20,10,20,14,20,25,0,0,0,1,0,12
100013_2013,10,100013,2,2,0,1,1,3,3,3,0,23,2,2013,7,1,16,1,11,1,I-495,NULL,22,39.71693889,-75.55401111,0,8,0,1,18,1,0,1,2,10,2,2,0,0000000,1,19,1,23,88,88,0,0,0,1,0,13
100014_2013,10,100014,1,1,0,0,0,1,1,3,0,21,2,2013,5,7,24,0,6,6,"THOMPSON STATION RD",NULL,2,39.73486111,-75.75813889,0,42,0,0,1,1,0,4,1,1,0,1,0,0000000,99,99,99,98,88,88,0,0,0,1,0,14
100015_2013,10,100015,2,2,0,0,0,3,3,3,0,14,2,2013,5,14,24,0,14,3,SR-72,"RUE MADORA",37,39.606,-75.71531944,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,14,10,14,19,14,50,0,0,0,1,0,15
100016_2013,10,100016,1,1,0,1,1,1,1,3,0,13,3,2013,4,20,5,0,2,3,SR-52,NULL,10,39.82204167,-75.61692778,0,8,0,0,1,1,0,1,2,10,0,10,0,0000000,20,5,20,14,20,38,0,0,0,1,0,16
100017_2013,10,100017,1,1,0,0,0,1,1,3,0,19,3,2013,3,1,39,0,6,8,"BAYVIEW ROAD",NULL,17,39.49295278,-75.62494167,0,53,0,0,1,1,0,4,2,2,0,2,0,0000000,1,37,1,45,88,88,0,0,0,1,1,17
100018_2013,10,100018,2,2,0,0,0,3,3,1,0,19,3,2013,3,16,5,0,14,5,"STATE STREET",NULL,70,39.13820278,-75.52225833,0,12,6,0,8,1,0,1,1,10,0,10,0,0000000,16,6,16,17,16,22,0,0,0,1,1,18
100019_2013,10,100019,1,1,0,1,1,1,1,3,0,30,3,2013,7,4,5,0,13,3,SR-2,NULL,51,39.72881667,-75.64823333,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,4,6,4,10,88,88,0,0,0,1,0,19
100020_2013,10,100020,1,1,0,0,0,1,1,5,0,6,4,2013,7,22,28,1,2,2,US-113,NULL,109,38.75213611,-75.43435556,0,42,0,0,1,1,0,6,2,1,0,1,0,0000000,22,32,22,38,22,57,0,0,0,1,1,20
100021_2013,10,100021,3,3,0,0,0,4,4,3,0,16,4,2013,3,15,30,1,11,1,I-495,NULL,55,39.75579722,-75.49536944,0,24,0,0,1,1,0,3,1,1,0,1,0,0000000,15,30,15,37,16,2,0,0,0,1,1,21
100022_2013,10,100022,2,2,0,0,0,5,5,3,0,20,4,2013,7,19,15,0,14,5,"CENTERVILLE  RD","RED CLAY DRIVE",15,39.75858611,-75.62554722,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1,22
100023_2013,10,100023,1,1,0,0,0,1,1,3,0,28,4,2013,1,2,19,0,5,3,"SR-276 BETHEL CHURCH ROAD",NULL,1,39.52061944,-75.77803889,0,30,0,0,1,1,0,4,2,1,0,1,0,0000000,2,15,2,24,2,50,0,0,0,1,1,23
100024_2013,10,100024,1,1,0,0,0,2,2,5,0,30,4,2013,3,15,15,0,6,8,"JONES STORE ROAD",NULL,14,38.59066111,-75.40433333,0,1,0,0,1,1,0,4,1,2,0,2,0,0000000,15,14,15,28,16,7,0,0,0,1,1,24
100025_2013,10,100025,1,1,0,0,0,1,1,5,0,10,5,2013,6,1,30,1,2,2,"US-113 DUPONT BLVD",NULL,47,38.51913611,-75.24089167,0,42,0,0,1,1,0,3,2,1,0,1,0,0000000,1,34,1,42,88,88,0,0,0,1,1,25
100026_2013,10,100026,1,1,0,0,0,1,1,3,0,15,5,2013,4,13,21,0,4,3,SR-9,NULL,35,39.47215278,-75.60387222,0,42,0,0,1,1,0,5,1,2,0,2,0,0000000,13,21,13,38,88,88,0,0,0,1,1,26
100027_2013,10,100027,2,2,0,0,0,3,3,5,0,20,5,2013,2,17,3,0,4,3,SR-13A,NULL,123,38.62431111,-75.60586111,0,12,1,0,1,1,0,2,1,1,0,1,0,0000000,17,7,17,10,17,16,13,20,0,1,1,27
100028_2013,10,100028,3,3,0,0,0,5,5,3,0,25,5,2013,7,12,4,1,11,1,I-495,NULL,32,39.78195,-75.47432222,0,12,1,0,1,1,0,1,1,1,0,1,0,0000000,12,4,12,12,88,88,0,0,0,1,1,28
100029_2013,10,100029,1,1,0,0,0,2,2,5,0,25,5,2013,7,16,0,0,4,4,CR-297,NULL,77,38.60463333,-75.18675833,0,42,0,0,1,1,0,5,1,1,0,1,0,0000000,16,1,16,5,88,88,0,0,0,2,0,29
100030_2013,10,100030,2,2,0,0,0,5,5,3,0,28,5,2013,3,13,9,1,12,3,SR-1,NULL,35,39.64955,-75.65010833,0,12,9,0,1,1,0,1,1,1,0,1,0,0000000,13,9,13,20,13,38,0,0,0,1,1,30
100031_2013,10,100031,2,2,0,0,0,2,2,3,0,30,5,2013,5,5,49,0,3,2,US-13,"BLACK DIAMOND ROAD",79,39.35075278,-75.64193889,0,12,6,0,2,2,0,1,4,1,0,1,0,0000000,5,52,6,1,88,88,0,0,0,1,1,31
100032_2013,10,100032,5,5,0,0,0,6,6,3,0,30,5,2013,5,7,30,1,11,1,I-95,NULL,78,39.6893,-75.63948056,0,12,7,0,1,1,0,1,1,1,0,1,0,0000000,7,30,7,39,7,45,0,0,0,1,1,32
100033_2013,10,100033,1,1,0,0,0,1,1,1,0,30,5,2013,5,3,55,1,12,3,SR-1,NULL,152,39.1241,-75.48498889,0,24,0,0,1,1,0,4,3,1,0,1,0,0000000,4,1,4,9,88,88,0,0,0,1,0,33
100034_2013,10,100034,2,2,0,0,0,3,3,5,0,23,5,2013,5,15,28,0,4,3,SR-20,"HARD SCRABBLE ROAD",80,38.61677222,-75.47623333,0,12,6,0,2,2,0,1,1,2,0,2,0,0000000,15,19,15,30,16,1,0,0,0,1,0,34
100035_2013,10,100035,2,2,0,0,0,2,2,1,0,30,5,2013,5,13,56,1,2,3,SR-1,"MULBERRIE POINT RD",103,39.05128889,-75.4591,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,14,0,14,8,99,99,0,0,0,1,0,35
100036_2013,10,100036,3,3,0,0,0,7,7,5,0,5,6,2013,4,9,13,1,2,2,US-113,NULL,315,38.85668889,-75.43906944,0,12,2,0,1,1,0,1,1,1,0,1,0,0000000,9,14,9,19,9,44,0,0,0,2,1,36
100037_2013,10,100037,1,1,0,0,0,1,1,1,0,6,6,2013,5,1,25,0,6,8,"FOX HUNTERS ROAD",NULL,15,38.91133056,-75.65586111,0,30,0,0,1,1,0,4,2,1,0,1,0,0000000,1,32,1,46,88,88,0,0,0,1,1,37
100038_2013,10,100038,1,1,0,1,1,1,1,5,0,8,6,2013,7,20,45,1,2,3,SR-1,NULL,244,38.70338333,-75.08409722,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,20,50,20,56,88,88,0,0,0,1,1,38
100039_2013,10,100039,1,1,0,2,2,6,6,3,0,5,6,2013,4,22,9,1,13,2,US-13,NULL,7,39.66134167,-75.60817222,0,8,0,0,1,1,0,1,3,1,0,1,0,0000000,22,10,22,13,22,26,0,0,0,1,0,39
100040_2013,10,100040,2,2,0,0,0,2,2,5,0,14,6,2013,6,11,8,0,2,3,SR-18,"SEASHORE HWY",164,38.69827222,-75.436875,0,12,2,0,1,1,0,1,1,10,0,10,0,0000000,11,10,11,18,11,55,0,0,0,1,1,40
100041_2013,10,100041,1,1,0,2,2,1,1,5,0,14,6,2013,6,23,3,0,4,3,SR-54,CR-58,108,38.45211944,-75.05726389,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,23,7,23,14,0,24,0,0,0,2,0,41
100042_2013,10,100042,1,1,0,0,0,3,3,5,0,15,6,2013,7,18,32,0,9,8,"PEPPERCOX ROAD",NULL,99999,38.47622778,-75.48676389,0,32,0,0,1,1,0,4,1,1,0,1,0,0000000,18,33,18,41,19,15,0,0,0,1,1,42
100043_2013,10,100043,1,1,0,0,0,2,2,5,0,16,6,2013,1,15,24,0,6,3,SR-36,NULL,165,38.93091111,-75.34432222,0,30,0,0,1,1,0,5,1,1,0,1,0,0000000,15,36,15,44,16,6,0,0,0,1,1,43
100044_2013,10,100044,1,1,0,1,1,1,1,5,0,21,6,2013,6,16,37,0,3,3,SR-1,NULL,94,38.57621111,-75.06048611,0,9,0,0,1,1,0,1,1,1,0,1,0,0000000,16,40,16,48,88,88,0,0,0,1,0,44
100045_2013,10,100045,2,2,0,0,0,3,3,3,0,22,6,2013,7,17,16,0,14,8,"OLD BALTIMORE PIKE","SALEM WOODS DRIBE",51,39.64840833,-75.69784722,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,17,17,17,26,17,38,0,0,0,1,1,45
100046_2013,10,100046,2,2,0,0,0,3,3,3,0,26,6,2013,4,15,46,0,6,8,"ALLEY MILL ROAD","CLAYTON DELANEY ROAD",11,39.30453056,-75.66881111,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,15,46,15,50,16,28,0,0,0,1,0,46
100047_2013,10,100047,1,1,0,0,0,2,2,1,0,27,6,2013,5,0,45,0,15,3,SR-10,NULL,12,39.11878056,-75.50421944,0,31,0,0,1,1,0,4,2,10,0,10,0,0000000,0,49,0,56,99,99,0,0,0,1,1,47
100048_2013,10,100048,2,2,0,0,0,2,2,5,0,1,7,2013,2,7,12,0,6,8,"BRICKYARD ROAD",NULL,5,38.62868056,-75.58036389,0,12,6,0,8,1,0,1,1,10,0,10,0,0000000,7,14,7,19,88,88,0,0,0,1,0,48
100049_2013,10,100049,1,1,0,2,2,1,1,5,0,4,7,2013,5,21,34,1,2,3,"SR-1 COASTAL HWY",NULL,21,38.68698611,-75.07408889,0,8,0,0,1,1,0,1,3,1,0,1,0,0000000,21,38,21,42,22,32,0,0,0,1,1,49
100050_2013,10,100050,2,2,0,0,0,2,2,5,430,6,7,2013,7,11,54,0,4,3,SR-54,CR-387,34,38.46389444,-75.17826667,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,11,54,12,0,12,55,0,0,0,1,0,50
100051_2013,10,100051,1,1,0,1,1,1,1,5,0,11,7,2013,5,21,24,1,2,3,SR-1,NULL,19,38.71331667,-75.10414444,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,21,28,21,32,21,46,0,0,0,1,0,51
100052_2013,10,100052,2,2,0,0,0,2,2,1,130,11,7,2013,5,6,26,0,15,6,"NORTH STREET","SAULSBURY ROAD",10,39.15337778,-75.5413,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,6,28,6,38,88,88,0,0,0,1,0,52
100053_2013,10,100053,2,2,0,0,0,3,3,3,0,24,7,2013,4,18,24,1,11,1,I-495,NULL,40,39.7768,-75.47910556,0,12,7,0,1,1,0,1,1,1,0,1,0,0000000,18,24,18,30,88,88,0,0,0,1,1,53
100054_2013,10,100054,1,1,0,1,1,2,2,0,0,4,8,2013,1,23,14,1,2,2,US-13,CR-466,5,38.97888889,-76.11722222,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,23,19,23,22,88,88,0,0,0,1,0,54
100055_2013,10,100055,2,2,0,0,0,2,2,5,0,5,8,2013,2,21,1,0,5,8,"SHILOH CHURCH RD","SCOTT LANDING RD",50,38.57980833,-75.447225,0,12,1,0,2,2,0,1,1,1,0,1,0,0000000,20,59,21,8,88,88,0,0,0,1,0,55
100056_2013,10,100056,6,6,0,0,0,8,8,3,0,11,8,2013,1,22,0,1,2,3,SR-1,NULL,38,39.34150556,-75.6387,0,12,1,0,1,1,0,1,2,1,0,1,0,0000000,22,2,22,9,22,46,0,0,0,1,0,56
100057_2013,10,100057,3,3,0,0,0,8,8,5,0,11,8,2013,1,18,26,1,2,3,SR-404,NULL,19,38.75591667,-75.63098889,0,12,8,0,1,1,0,1,1,10,0,10,0,0000000,18,26,18,37,19,1,0,0,0,1,0,57
100058_2013,10,100058,2,2,0,0,0,5,5,5,0,17,8,2013,7,21,19,0,4,3,SR-24,NULL,382,38.7068,-75.15813333,0,12,1,0,1,1,0,1,2,1,0,1,0,0000000,21,24,21,28,21,47,0,0,0,1,1,58
100059_2013,10,100059,1,1,0,0,0,1,1,5,0,27,7,2013,7,10,40,0,5,4,CR-516,NULL,29,38.68479167,-75.53162222,0,34,0,0,1,1,0,4,1,1,0,1,0,0000000,10,47,10,57,11,14,0,0,0,1,1,59
100060_2013,10,100060,2,2,0,0,0,2,2,3,0,20,8,2013,3,21,7,1,13,2,US-13,NULL,20,39.67625,-75.59448056,0,12,6,0,8,1,0,1,2,1,0,1,0,0000000,21,10,21,15,21,29,0,0,0,1,1,60
100061_2013,10,100061,1,1,0,1,1,1,1,3,0,1,9,2013,1,22,21,1,13,2,US-13,NULL,54,39.65645833,-75.61461944,0,8,0,0,1,1,0,1,3,1,0,1,0,0000000,22,24,22,28,88,88,0,0,0,1,0,61
100062_2013,10,100062,2,2,0,0,0,2,2,3,0,3,9,2013,3,5,16,0,13,3,SR-2,NULL,54,39.69583056,-75.71475,0,12,1,0,1,1,0,1,2,1,0,1,0,0000000,5,17,5,23,88,88,19,0,0,1,0,62
100063_2013,10,100063,2,2,0,0,0,2,2,5,320,8,9,2013,1,22,26,0,4,2,US-13,NULL,99999,38.90726389,-75.44166667,0,12,6,0,1,1,0,1,2,1,0,1,0,0000000,22,24,22,29,88,88,0,0,0,1,0,63
100064_2013,10,100064,2,2,0,0,0,2,2,1,130,7,9,2013,7,8,45,0,14,2,US-13,NULL,12,39.17340556,-75.50900833,0,12,1,0,1,1,0,1,1,1,0,1,0,0000000,8,45,8,48,99,99,0,0,0,1,0,64
100065_2013,10,100065,2,2,0,0,0,2,2,5,330,14,9,2013,7,16,26,1,2,2,US-113,S4-24,253,38.58542222,-75.29517778,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,16,27,16,30,17,15,0,0,0,1,0,65
100066_2013,10,100066,1,1,0,1,1,1,1,3,490,14,9,2013,7,16,24,0,14,6,"4TH STREET","RODNEY STREET",4,39.74679167,-75.56679722,0,8,0,0,2,2,0,1,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0,66
100067_2013,10,100067,2,2,0,0,0,2,2,1,0,25,9,2013,4,11,50,1,12,3,SR-1,NULL,104,39.17573889,-75.50118333,0,12,1,1,5,1,0,1,1,1,0,1,0,0000000,11,52,11,59,99,99,0,0,0,1,0,67
100068_2013,10,100068,2,2,0,0,0,9,9,5,0,1,10,2013,3,9,41,0,5,3,SR-46,NULL,89,38.6534,-75.46111389,0,12,6,0,1,1,0,1,1,1,0,1,0,0000000,9,44,9,56,10,29,0,0,0,2,0,68
100069_2013,10,100069,1,1,0,0,0,1,1,5,0,2,10,2013,4,14,19,1,2,2,US-113,NULL,197,38.64715,-75.36249167,0,24,0,0,1,1,0,4,1,1,0,1,0,0000000,14,23,14,25,88,88,0,0,0,1,0,69
100070_2013,10,100070,1,1,0,0,0,1,1,5,0,6,10,2013,1,0,55,0,4,4,CR-54A,NULL,25,38.52386111,-75.06365,0,42,0,0,1,1,0,5,2,1,0,1,0,0000000,0,57,1,1,1,46,0,0,0,1,1,70
100071_2013,10,100071,1,1,0,0,0,1,1,5,0,13,10,2013,1,6,15,1,2,3,SR-18,"COKESBURY RD",139,38.69218611,-75.48043889,0,35,0,0,3,3,0,4,2,2,0,2,0,0000000,6,18,6,27,88,88,0,0,0,1,1,71
100072_2013,10,100072,1,1,0,0,0,1,1,3,0,5,10,2013,7,5,19,0,15,4,CR-42,NULL,42,39.64668333,-75.70258611,0,25,0,0,1,1,0,3,2,1,0,1,0,0000000,5,18,5,22,5,42,0,0,0,1,1,72
100074_2013,10,100074,1,1,0,2,2,1,1,3,0,18,10,2013,6,0,31,0,13,3,SR-896,"CORPORATE AVE",42,39.61599444,-75.74498889,0,8,0,0,2,2,0,1,2,1,0,1,0,0000000,0,32,0,49,1,1,0,0,0,1,0,73
100075_2013,10,100075,6,1,5,0,0,1,1,1,130,22,10,2013,3,22,20,1,13,2,US-13,NULL,11,39.14594722,-75.51623611,0,59,0,0,1,1,0,4,2,1,0,1,0,0000000,99,99,99,99,88,88,14,0,0,1,1,74
100076_2013,10,100076,1,1,0,1,1,1,1,3,0,23,10,2013,4,2,3,1,13,2,US-40,NULL,69,39.60701111,-75.729425,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,2,6,2,8,2,36,0,0,0,1,0,75
100077_2013,10,100077,2,2,0,0,0,2,2,1,130,26,10,2013,7,5,29,0,14,3,SR-15,NULL,21,39.18055278,-75.55820278,0,12,2,0,1,1,0,1,2,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,2,1,76
100078_2013,10,100078,2,2,0,0,0,2,2,5,0,1,11,2013,6,12,22,0,2,3,SR-18,NULL,115,38.7084,-75.52110833,0,12,2,0,1,1,0,1,1,10,0,10,0,0000000,12,27,12,29,13,24,0,0,0,1,0,77
100079_2013,10,100079,1,1,0,0,0,1,1,3,0,2,11,2013,7,2,45,0,13,3,SR-2,"CORDELE ROAD",55,39.69626389,-75.71371667,0,33,0,0,3,3,0,4,2,10,0,10,0,0000000,2,46,2,48,3,24,0,0,0,1,1,78
100080_2013,10,100080,1,1,0,1,1,1,1,3,150,5,11,2013,3,13,12,0,16,5,"BUNGALOW AVENUE",NULL,1000,39.73915,-75.60086944,0,8,0,0,1,1,0,1,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0,79
100081_2013,10,100081,2,2,0,1,1,3,3,3,0,8,11,2013,6,18,2,1,13,3,SR-2,NULL,45,39.73315,-75.64015,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,18,2,18,7,88,88,0,0,0,1,0,80
100082_2013,10,100082,2,2,0,0,0,4,4,3,0,25,10,2013,6,8,30,0,15,8,"WALTHER ROAD","CREEKSIDE DRIVE",12,39.64076944,-75.68406389,0,12,6,0,2,3,0,1,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0,81
100083_2013,10,100083,2,2,0,0,0,4,4,3,360,12,10,2013,7,18,35,0,13,3,SR-4,"SOUTH COLLEGE AVENUE",14,39.6585,-75.75176111,0,12,1,0,3,2,0,1,5,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,1,82
100084_2013,10,100084,1,1,0,0,0,2,2,1,0,11,11,2013,2,4,8,0,4,4,CR-199,NULL,17,39.12862778,-75.6182,0,35,0,0,1,1,0,4,2,1,0,1,0,0000000,4,24,4,31,4,57,0,0,0,1,1,83
100085_2013,10,100085,2,2,0,0,0,2,2,3,0,19,11,2013,3,9,21,1,13,2,US-40,"CHURCH ROAD",57,39.62240833,-75.68348056,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,9,22,9,26,9,50,0,0,0,1,0,84
100086_2013,10,100086,1,1,0,1,1,1,1,5,0,19,11,2013,3,18,29,1,2,2,US-113,NULL,248,38.762075,-75.43747222,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,18,34,18,42,99,99,0,0,0,1,0,85
100087_2013,10,100087,2,2,0,1,1,2,2,3,490,14,11,2013,5,9,33,0,13,6,"DELAWARE AVE",NULL,74,39.74833056,-75.55196111,0,8,0,0,1,1,0,1,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0,86
100088_2013,10,100088,1,1,0,0,0,1,1,3,0,18,11,2013,2,13,58,0,6,8,"CEDAR LANE ROAD",NULL,28,39.49288056,-75.68948889,0,35,0,0,1,1,0,4,1,1,0,1,0,0000000,13,57,14,8,14,34,0,0,0,1,0,87
100089_2013,10,100089,1,1,0,1,1,2,2,3,0,4,12,2013,4,19,37,1,13,3,SR-7,NULL,6,39.71901944,-75.65337222,0,8,0,0,1,1,0,1,2,10,0,10,0,0000000,19,35,19,44,19,57,0,0,0,1,0,88
100090_2013,10,100090,1,1,0,1,1,1,1,3,0,6,12,2013,6,8,45,1,13,3,"SR-3 MARSH ROAD",NULL,56,39.775,-75.50677778,0,8,0,0,1,1,0,1,9,99,0,99,0,0000000,99,99,99,99,88,88,18,0,0,1,0,89
100091_2013,10,100091,2,2,0,0,0,2,2,3,0,7,12,2013,7,23,24,0,3,2,"US-13 SB","BLACKBIRD FOREST ROAD",61,39.37086389,-75.66013333,0,12,6,0,2,2,0,1,2,1,0,1,0,0000000,23,54,0,4,0,43,0,0,0,1,1,90
100092_2013,10,100092,2,2,0,0,0,5,5,5,0,22,12,2013,1,2,31,0,3,2,US-9,"ASBURY ROAD",69,38.62652222,-75.47313056,0,12,6,0,3,2,0,1,2,10,0,10,0,0000000,2,38,2,57,3,25,0,0,0,1,1,91
100093_2013,10,100093,1,1,0,1,1,1,1,3,0,26,12,2013,5,20,16,1,13,2,US-40,NULL,13,39.64521944,-75.63835556,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,20,15,20,11,20,53,0,0,0,1,0,92
100094_2013,10,100094,2,1,1,0,0,1,1,3,0,27,12,2013,6,19,41,1,11,1,I-95,NULL,65,39.7077,-75.59733889,0,14,0,0,1,1,0,2,2,1,0,1,0,0000000,19,41,19,48,20,3,0,0,0,1,1,93
100095_2013,10,100095,4,1,3,0,0,1,1,3,490,14,10,2013,2,18,5,0,16,6,"NORTH STREET","CONRAD STREET",0,39.74338611,-75.56274167,0,14,0,0,1,1,0,4,3,10,0,10,0,0000000,99,99,99,99,88,88,0,0,0,1,0,94
110001_2013,11,110001,1,1,0,1,1,1,1,1,10,12,2,2013,3,10,0,0,16,6,"HARVARD ST NW","GEORGIA AVE NW",99999,38.92726667,-77.02289444,0,8,0,0,2,2,0,1,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0,95
110002_2013,11,110002,1,1,0,1,1,1,1,1,10,13,2,2013,4,4,45,0,16,6,"1300 NEW YORK AVE NE",NULL,99999,38.91485278,-76.98751667,0,8,0,0,1,1,0,1,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0,96
110003_2013,11,110003,5,5,0,0,0,8,8,1,10,25,1,2013,6,14,24,0,16,6,"EASTERN AVE SE",NULL,0,38.83357222,-76.98543333,0,12,1,0,1,1,0,1,1,12,0,12,0,0000000,99,99,99,99,99,99,0,0,0,1,0,97
110004_2013,11,110004,1,1,0,1,1,1,1,1,10,16,2,2013,7,22,38,0,16,6,"100 M ST NE",NULL,99999,38.90565556,-77.00358056,0,8,0,0,1,1,0,1,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0,98
110005_2013,11,110005,2,2,0,0,0,4,4,1,10,13,3,2013,4,20,0,0,16,6,"SUITLAND PARKWAY SE",NULL,0,38.85244722,-76.97425833,0,12,11,0,1,1,0,1,2,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0,99
110006_2013,11,110006,1,1,0,1,1,1,1,1,10,21,3,2013,5,20,21,0,16,6,"FLORIDA AVE NE","11TH ST NE",0,38.903325,-76.99155278,0,8,0,0,2,3,0,1,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1,100
110007_2013,11,110007,1,1,0,0,0,1,1,1,10,8,4,2013,2,14,10,0,16,6,"SOUTH CAPITOL STREET SE","M STREET SE",0,38.87639722,-77.00899722,0,50,0,0,1,1,0,1,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0,101
110008_2013,11,110008,1,1,0,1,1,2,2,1,10,28,4,2013,1,14,45,0,16,6,"1ST ST SW","SOUTH CAPITOL ST SW",0,38.82354444,-77.00550278,0,33,0,0,1,1,0,4,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1,102
110009_2013,11,110009,3,1,2,0,0,2,2,1,10,2,5,2013,5,23,45,1,11,1,I-295,NULL,0,38.90373333,-76.94192778,0,33,0,0,1,1,0,4,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1,103
110010_2013,11,110010,1,1,0,0,0,1,1,1,10,30,4,2013,3,1,26,0,16,6,"5TH ST NW","HARVARD ST NW",0,38.92765,-77.02023056,0,33,0,0,3,3,0,4,3,2,0,2,0,0000000,99,99,99,99,99,99,0,0,0,1,1,104
